#real_cutoff=2
#reciprocal_cutoff=10
alpha	0x	0y	0z	1x	1y	1z	2x	2y	2z	3x	3y	3z	4x	4y	4z
0.1000000000	-0.0000000000	0.0000000000	0.0070533680	-4.0006808720	0.0000000000	-1.4793749870	4.0006808720	0.0000000000	-1.4793749870	0.0000000000	4.0006808720	-1.4793749870	-0.0000000000	-4.0006808720	-1.4793749870
0.2000000000	-0.0000000000	0.0000000000	0.0064599048	-4.0006807671	-0.0000000000	-1.4799683071	4.0006807671	0.0000000000	-1.4799683071	0.0000000000	4.0006807671	-1.4799683071	0.0000000000	-4.0006807671	-1.4799683071
0.3000000000	0.0000000000	0.0000000000	0.0059718435	-4.0006805838	-0.0000000000	-1.4804563580	4.0006805838	-0.0000000000	-1.4804563580	-0.0000000000	4.0006805838	-1.4804563580	-0.0000000000	-4.0006805838	-1.4804563580
0.4000000000	0.0000000000	-0.0000000000	0.0058273909	-4.0006805026	-0.0000000000	-1.4806010623	4.0006805026	-0.0000000000	-1.4806010623	0.0000000000	4.0006805026	-1.4806010623	0.0000000000	-4.0006805026	-1.4806010623
0.5000000000	0.0000000000	-0.0000000000	0.0058113385	-4.0006804905	0.0000000000	-1.4806172387	4.0006804905	-0.0000000000	-1.4806172387	-0.0000000000	4.0006804905	-1.4806172387	0.0000000000	-4.0006804905	-1.4806172387
0.6000000000	-0.0000000000	-0.0000000000	0.0058136659	-4.0006804702	-0.0000000000	-1.4806149746	4.0006804702	-0.0000000000	-1.4806149746	-0.0000000000	4.0006804702	-1.4806149746	0.0000000000	-4.0006804702	-1.4806149746
0.7000000000	0.0000000000	0.0000000000	0.0058194406	-4.0006804011	0.0000000000	-1.4806092788	4.0006804011	0.0000000000	-1.4806092788	-0.0000000000	4.0006804011	-1.4806092788	0.0000000000	-4.0006804011	-1.4806092788
0.8000000000	-0.0000000000	-0.0000000000	0.0058241723	-4.0006803030	0.0000000000	-1.4806045914	4.0006803030	0.0000000000	-1.4806045914	-0.0000000000	4.0006803030	-1.4806045914	0.0000000000	-4.0006803030	-1.4806045914
0.9000000000	0.0000000000	0.0000000000	0.0058263773	-4.0006802275	-0.0000000000	-1.4806023931	4.0006802275	0.0000000000	-1.4806023931	-0.0000000000	4.0006802275	-1.4806023931	-0.0000000000	-4.0006802275	-1.4806023931
1.0000000000	0.0000000000	0.0000000000	0.0058270585	-4.0006801908	-0.0000000000	-1.4806017078	4.0006801908	-0.0000000000	-1.4806017078	0.0000000000	4.0006801908	-1.4806017078	-0.0000000000	-4.0006801908	-1.4806017078
1.1000000000	-0.0000000000	-0.0000000000	0.0058272109	-4.0006801784	-0.0000000000	-1.4806015526	4.0006801784	-0.0000000000	-1.4806015526	-0.0000000000	4.0006801784	-1.4806015526	0.0000000000	-4.0006801784	-1.4806015526
1.2000000000	0.0000000000	0.0000000000	0.0058272369	-4.0006801753	0.0000000000	-1.4806015256	4.0006801753	0.0000000000	-1.4806015256	0.0000000000	4.0006801753	-1.4806015256	-0.0000000000	-4.0006801753	-1.4806015256
1.3000000000	0.0000000000	-0.0000000000	0.0058272404	-4.0006801747	-0.0000000000	-1.4806015219	4.0006801747	-0.0000000000	-1.4806015219	-0.0000000000	4.0006801747	-1.4806015219	0.0000000000	-4.0006801747	-1.4806015219
1.4000000000	0.0000000000	-0.0000000000	0.0058272408	-4.0006801746	0.0000000000	-1.4806015214	4.0006801746	0.0000000000	-1.4806015214	0.0000000000	4.0006801746	-1.4806015214	0.0000000000	-4.0006801746	-1.4806015214
1.5000000000	0.0000000000	0.0000000000	0.0058272409	-4.0006801745	-0.0000000000	-1.4806015214	4.0006801745	-0.0000000000	-1.4806015214	-0.0000000000	4.0006801745	-1.4806015214	0.0000000000	-4.0006801745	-1.4806015214
1.6000000000	-0.0000000000	-0.0000000000	0.0058272409	-4.0006801745	0.0000000000	-1.4806015214	4.0006801745	-0.0000000000	-1.4806015214	0.0000000000	4.0006801745	-1.4806015214	-0.0000000000	-4.0006801745	-1.4806015214
1.7000000000	0.0000000000	0.0000000000	0.0058272409	-4.0006801745	0.0000000000	-1.4806015214	4.0006801745	0.0000000000	-1.4806015214	0.0000000000	4.0006801745	-1.4806015214	-0.0000000000	-4.0006801745	-1.4806015214
1.8000000000	0.0000000000	0.0000000000	0.0058272409	-4.0006801745	-0.0000000000	-1.4806015214	4.0006801745	-0.0000000000	-1.4806015214	0.0000000000	4.0006801745	-1.4806015214	-0.0000000000	-4.0006801745	-1.4806015214
1.9000000000	0.0000000000	0.0000000000	0.0058272409	-4.0006801745	-0.0000000000	-1.4806015214	4.0006801745	-0.0000000000	-1.4806015214	-0.0000000000	4.0006801745	-1.4806015214	0.0000000000	-4.0006801745	-1.4806015214
2.0000000000	0.0000000000	-0.0000000000	0.0058272409	-4.0006801745	-0.0000000000	-1.4806015214	4.0006801745	-0.0000000000	-1.4806015214	-0.0000000000	4.0006801745	-1.4806015214	0.0000000000	-4.0006801745	-1.4806015214
2.1000000000	-0.0000000000	-0.0000000000	0.0058272409	-4.0006801745	0.0000000000	-1.4806015214	4.0006801745	0.0000000000	-1.4806015214	0.0000000000	4.0006801745	-1.4806015214	-0.0000000000	-4.0006801745	-1.4806015214
2.2000000000	-0.0000000000	-0.0000000000	0.0058272409	-4.0006801745	-0.0000000000	-1.4806015214	4.0006801745	-0.0000000000	-1.4806015214	-0.0000000000	4.0006801745	-1.4806015214	-0.0000000000	-4.0006801745	-1.4806015214
2.3000000000	0.0000000000	0.0000000000	0.0058272409	-4.0006801745	0.0000000000	-1.4806015214	4.0006801745	0.0000000000	-1.4806015214	0.0000000000	4.0006801745	-1.4806015214	0.0000000000	-4.0006801745	-1.4806015214
2.4000000000	-0.0000000000	0.0000000000	0.0058272409	-4.0006801745	-0.0000000000	-1.4806015214	4.0006801745	-0.0000000000	-1.4806015214	-0.0000000000	4.0006801745	-1.4806015214	-0.0000000000	-4.0006801745	-1.4806015214
2.5000000000	-0.0000000000	-0.0000000000	0.0058272409	-4.0006801745	-0.0000000000	-1.4806015214	4.0006801745	-0.0000000000	-1.4806015214	-0.0000000000	4.0006801745	-1.4806015214	0.0000000000	-4.0006801745	-1.4806015214
2.6000000000	-0.0000000000	-0.0000000000	0.0058272409	-4.0006801745	-0.0000000000	-1.4806015214	4.0006801745	-0.0000000000	-1.4806015214	0.0000000000	4.0006801745	-1.4806015214	-0.0000000000	-4.0006801745	-1.4806015214
2.7000000000	-0.0000000000	-0.0000000000	0.0058272409	-4.0006801745	0.0000000000	-1.4806015214	4.0006801745	0.0000000000	-1.4806015214	0.0000000000	4.0006801745	-1.4806015214	0.0000000000	-4.0006801745	-1.4806015214
2.8000000000	0.0000000000	-0.0000000000	0.0058272409	-4.0006801745	-0.0000000000	-1.4806015214	4.0006801745	-0.0000000000	-1.4806015214	-0.0000000000	4.0006801745	-1.4806015214	0.0000000000	-4.0006801745	-1.4806015214
2.9000000000	-0.0000000000	0.0000000000	0.0058272409	-4.0006801745	0.0000000000	-1.4806015214	4.0006801745	0.0000000000	-1.4806015214	-0.0000000000	4.0006801745	-1.4806015214	0.0000000000	-4.0006801745	-1.4806015214
3.0000000000	0.0000000000	0.0000000000	0.0058272409	-4.0006801745	-0.0000000000	-1.4806015214	4.0006801745	0.0000000000	-1.4806015214	-0.0000000000	4.0006801745	-1.4806015214	-0.0000000000	-4.0006801745	-1.4806015214
3.1000000000	-0.0000000000	-0.0000000000	0.0058272409	-4.0006801745	-0.0000000000	-1.4806015214	4.0006801745	-0.0000000000	-1.4806015214	0.0000000000	4.0006801745	-1.4806015214	-0.0000000000	-4.0006801745	-1.4806015214
3.2000000000	0.0000000000	-0.0000000000	0.0058272409	-4.0006801745	0.0000000000	-1.4806015214	4.0006801745	0.0000000000	-1.4806015214	0.0000000000	4.0006801745	-1.4806015214	-0.0000000000	-4.0006801745	-1.4806015214
3.3000000000	-0.0000000000	0.0000000000	0.0058272409	-4.0006801745	-0.0000000000	-1.4806015214	4.0006801745	-0.0000000000	-1.4806015214	0.0000000000	4.0006801745	-1.4806015214	-0.0000000000	-4.0006801745	-1.4806015214
3.4000000000	-0.0000000000	-0.0000000000	0.0058272409	-4.0006801745	0.0000000000	-1.4806015214	4.0006801745	0.0000000000	-1.4806015214	0.0000000000	4.0006801745	-1.4806015214	-0.0000000000	-4.0006801745	-1.4806015214
3.5000000000	0.0000000000	-0.0000000000	0.0058272409	-4.0006801745	0.0000000000	-1.4806015214	4.0006801745	0.0000000000	-1.4806015214	0.0000000000	4.0006801745	-1.4806015214	-0.0000000000	-4.0006801745	-1.4806015214
3.6000000000	-0.0000000000	-0.0000000000	0.0058272408	-4.0006801745	-0.0000000000	-1.4806015214	4.0006801745	-0.0000000000	-1.4806015214	-0.0000000000	4.0006801745	-1.4806015214	0.0000000000	-4.0006801745	-1.4806015214
3.7000000000	-0.0000000000	-0.0000000000	0.0058272407	-4.0006801745	-0.0000000000	-1.4806015213	4.0006801745	-0.0000000000	-1.4806015213	0.0000000000	4.0006801745	-1.4806015213	-0.0000000000	-4.0006801745	-1.4806015213
3.8000000000	0.0000000000	-0.0000000000	0.0058272404	-4.0006801745	-0.0000000000	-1.4806015211	4.0006801745	-0.0000000000	-1.4806015211	-0.0000000000	4.0006801745	-1.4806015211	0.0000000000	-4.0006801745	-1.4806015211
3.9000000000	-0.0000000000	0.0000000000	0.0058272395	-4.0006801745	-0.0000000000	-1.4806015207	4.0006801745	-0.0000000000	-1.4806015207	0.0000000000	4.0006801745	-1.4806015207	-0.0000000000	-4.0006801745	-1.4806015207
4.0000000000	0.0000000000	-0.0000000000	0.0058272372	-4.0006801744	0.0000000000	-1.4806015195	4.0006801744	0.0000000000	-1.4806015195	0.0000000000	4.0006801744	-1.4806015195	-0.0000000000	-4.0006801744	-1.4806015195
4.1000000000	0.0000000000	0.0000000000	0.0058272320	-4.0006801741	-0.0000000000	-1.4806015167	4.0006801741	-0.0000000000	-1.4806015167	0.0000000000	4.0006801741	-1.4806015167	-0.0000000000	-4.0006801741	-1.4806015167
4.2000000000	0.0000000000	-0.0000000000	0.0058272206	-4.0006801736	0.0000000000	-1.4806015107	4.0006801736	-0.0000000000	-1.4806015107	0.0000000000	4.0006801736	-1.4806015107	-0.0000000000	-4.0006801736	-1.4806015107
4.3000000000	0.0000000000	0.0000000000	0.0058271970	-4.0006801723	-0.0000000000	-1.4806014983	4.0006801723	-0.0000000000	-1.4806014983	-0.0000000000	4.0006801723	-1.4806014983	-0.0000000000	-4.0006801723	-1.4806014983
4.4000000000	-0.0000000000	0.0000000000	0.0058271503	-4.0006801698	-0.0000000000	-1.4806014737	4.0006801698	-0.0000000000	-1.4806014737	-0.0000000000	4.0006801698	-1.4806014737	0.0000000000	-4.0006801698	-1.4806014737
4.5000000000	0.0000000000	-0.0000000000	0.0058270623	-4.0006801649	0.0000000000	-1.4806014273	4.0006801649	0.0000000000	-1.4806014273	0.0000000000	4.0006801649	-1.4806014273	-0.0000000000	-4.0006801649	-1.4806014273
4.6000000000	-0.0000000000	0.0000000000	0.0058269027	-4.0006801555	0.0000000000	-1.4806013434	4.0006801555	0.0000000000	-1.4806013434	0.0000000000	4.0006801555	-1.4806013434	-0.0000000000	-4.0006801555	-1.4806013434
4.7000000000	-0.0000000000	-0.0000000000	0.0058266242	-4.0006801386	0.0000000000	-1.4806011970	4.0006801386	0.0000000000	-1.4806011970	0.0000000000	4.0006801386	-1.4806011970	-0.0000000000	-4.0006801386	-1.4806011970
4.8000000000	0.0000000000	0.0000000000	0.0058261545	-4.0006801091	0.0000000000	-1.4806009501	4.0006801091	0.0000000000	-1.4806009501	0.0000000000	4.0006801091	-1.4806009501	-0.0000000000	-4.0006801091	-1.4806009501
4.9000000000	0.0000000000	-0.0000000000	0.0058253870	-4.0006800592	-0.0000000000	-1.4806005468	4.0006800592	-0.0000000000	-1.4806005468	-0.0000000000	4.0006800592	-1.4806005468	0.0000000000	-4.0006800592	-1.4806005468
5.0000000000	-0.0000000000	-0.0000000000	0.0058241684	-4.0006799771	0.0000000000	-1.4805999066	4.0006799771	0.0000000000	-1.4805999066	0.0000000000	4.0006799771	-1.4805999066	0.0000000000	-4.0006799771	-1.4805999066
